model_94_5,train_losses,test_losses,train_accuracies,test_accuracies
1,0.033004034865077435,0.02023993276414417,43,49
2,0.022846323014305323,0.01960842041742234,47,50
3,0.023146540176443582,0.030017002991267614,55,49
4,0.021263313368431427,0.01936756542750767,46,55
5,0.020532107515654974,0.02688526028678531,57,49
6,0.01979633522233623,0.018696326301211402,51,58
7,0.0182151931886653,0.02070909397942679,55,48
8,0.018523033185075165,0.019510250432150704,52,50
9,0.018289601278005156,0.020053423586345855,53,48
10,0.01831010677529581,0.019752783434731618,53,49
11,0.01822618156109216,0.020022261710393997,53,48
12,0.01818048216761783,0.019934154124487014,53,48
13,0.018109591252149025,0.02012824501310076,53,49
14,0.018053408063932536,0.020143491313571023,53,48
15,0.017986813056393988,0.020293599083310083,53,51
16,0.01793289559442292,0.020378499939328148,54,51
17,0.017875017984858098,0.02050826549530029,54,51
18,0.017827137336291106,0.020635688304901124,54,51
19,0.017781697604141396,0.02077331713267735,54,51
20,0.01774424664379416,0.020926413649604434,54,52
21,0.0177153628827141,0.021092619782402403,55,52
22,0.01769810515129841,0.021275760446275983,55,51
23,0.017698002561333293,0.02148995002110799,55,51
24,0.017722394981224333,0.02176909219650995,55,51
25,0.01769234999170843,0.023655417419615247,56,51
26,0.017851107900247635,0.019035937104906354,56,57
27,0.017059579460375965,0.02083955378759475,57,49
28,0.016971340969173663,0.020812793572743734,58,49
29,0.016955543988905614,0.0209299331619626,58,51
30,0.017155851708018303,0.021898954822903587,58,49
31,0.017705764223194722,0.02367464928399949,58,51
32,0.017560489897458058,0.021896215279897054,60,52
33,0.017271153269573826,0.021009632519313266,60,52
34,0.018891472923930588,0.020109171526772635,57,55
35,0.02111474410542902,0.02038019611721947,58,53
36,0.01946561878832131,0.02375200703030541,58,50
37,0.017199969204216882,0.01859523341769264,59,61
38,0.020409428286102583,0.01919070879618327,59,62
39,0.024278890411808807,0.028755130086626324,57,50
40,0.024795683612363645,0.022183685643332344,56,49
41,0.024100380436179524,0.029573625042324976,56,50
42,0.023323582778186917,0.0302669053985959,54,50
43,0.021443798482043187,0.025301983810606457,51,48
44,0.019504521877760656,0.019832659903026763,50,59
45,0.017721291295637376,0.018376981644403368,58,68
46,0.01654073514778409,0.01845979122888474,64,69
47,0.016420452974627353,0.018782582169487364,62,66
48,0.016633067803312897,0.01888496932529268,62,65
49,0.016698165009856474,0.018764913082122803,62,66
50,0.016602998259682325,0.018649593421391077,64,67
51,0.016484842297915893,0.01860413153966268,64,67
52,0.016421548912860063,0.018601061048961823,64,67
53,0.0163981206012222,0.018597762357620964,64,67
54,0.016372937576325935,0.018579415480295815,64,67
55,0.0163294459288975,0.018557813054039366,64,68
56,0.01627795020239408,0.018544279961358934,64,68
57,0.016231320689059404,0.018538322335197813,65,69
58,0.016190877688006037,0.018534354936508905,65,67
59,0.01615188156783706,0.018529418536594938,65,67
60,0.01611167736023477,0.018524094422658285,65,68
61,0.016071041612505162,0.018519390197027297,65,68
62,0.01603147318778048,0.018514874435606458,65,67
63,0.01599295821579747,0.01850939989089966,65,67
