model_7_1,train_losses,test_losses,train_accuracies,test_accuracies
1,0.040962145435676146,0.046554872045551775,71,71
2,0.03269786951916941,0.05763750887700241,74,65
3,0.03281845403521248,0.057981549497068366,75,66
4,0.03245878243044521,0.05752778075037211,74,67
5,0.03216999208324411,0.05823839928982032,75,67
6,0.03201213117395894,0.058583369981633486,75,67
7,0.03181302671352129,0.0586656721403999,75,66
8,0.03165405717458618,0.05913880793717656,76,65
9,0.0316384719998649,0.060102708257027786,77,64
10,0.031739630123202724,0.061277862665426994,77,64
11,0.03187426693653792,0.062368384677998344,77,64
12,0.031977347008297956,0.06321989598065397,78,63
13,0.03202248999242033,0.06380639720137102,77,62
14,0.03201345560256015,0.06417743176439383,77,62
15,0.03196911785040009,0.06440752005055003,77,62
16,0.031909948955760915,0.06455926869037378,78,62
17,0.031850346822417185,0.06467124950276674,78,62
18,0.031797540824065045,0.06476369500160217,77,62
19,0.03175396222746774,0.06484684652655665,77,62
20,0.03171966929783982,0.06492577362669645,77,62
21,0.03169378624873215,0.06500244901998199,77,63
22,0.031675071059987785,0.06507705413076999,77,63
23,0.03166220693775777,0.06514887185427394,77,63
24,0.03165391342023785,0.06521691610343265,77,63
25,0.031649018020442364,0.06528013922872335,78,64
26,0.03164644028698461,0.06533752001115005,78,64
27,0.03164518093794919,0.06538817830329394,78,64
28,0.03164428870999411,0.06543122830182097,78,64
29,0.03164282807808244,0.06546590602310905,78,63
30,0.031639864270606735,0.06549151383177207,78,63
31,0.031634440900904406,0.06550741195678711,78,63
32,0.03162556846490067,0.06551305481987278,78,62
33,0.031612250225597556,0.06550812242675001,78,62
34,0.03159352574455604,0.06549252515291645,78,62
35,0.03156854379712866,0.06546665499680233,78,62
36,0.031536667852589254,0.06543157994747162,78,62
37,0.031497659643044636,0.06538932993464226,78,62
38,0.03145184367895126,0.06534319343793131,78,62
39,0.03140029532186101,0.06529786562832603,78,63
40,0.0313449194257179,0.06525935482804793,78,63
41,0.03128837856014123,0.06523443095005342,78,63
42,0.03123381141196476,0.0652296571400914,78,63
43,0.031184352984589138,0.06525008848113735,78,63
44,0.031142579370670106,0.06529804237567595,79,63
45,0.03111004266846046,0.0653725079376332,79,63
46,0.031087095248565247,0.06546930827363565,79,63
47,0.031072985523202448,0.06558218685379863,79,63
48,0.031066261114699116,0.06570408031018111,79,63
49,0.031065147947729303,0.06582832227658181,79,63
50,0.031067920618512657,0.0659494510967366,79,63
51,0.031073120922854778,0.06606350958782391,79,63
52,0.03107960130391496,0.06616786078815043,79,63
53,0.031086493978339635,0.06626103067920155,79,63
54,0.031093137803372372,0.06634227398538241,79,63
55,0.0310989864756552,0.06641148150402264,79,63
56,0.031103583935941204,0.06646875330131419,79,63
57,0.031106477373101737,0.0665145237950513,79,63
58,0.031107248181707403,0.06654924915654815,79,63
59,0.031105480167303193,0.06657350215598615,79,63
60,0.031100778750489267,0.06658803959832574,79,63
61,0.03109280492147703,0.06659366853915862,79,63
62,0.031081285285815764,0.06659134874378678,79,63
63,0.03106605402204428,0.06658235409834089,79,63
64,0.03104710341169593,0.06656807508781878,79,63
65,0.03102459070387851,0.06655026722128374,79,63
66,0.0309988859161902,0.06653082892842536,79,63
67,0.030970571315690372,0.06651196797398755,79,62
68,0.030940428526883716,0.06649590060658699,79,62
69,0.030909394564923275,0.06648479913272996,79,62
70,0.030878481754426205,0.0664806135379485,79,62
