model_84_5,train_losses,test_losses,train_accuracies,test_accuracies
1,0.024546611359034444,0.024227679911113922,51,50
2,0.02440906545651034,0.03250809283483596,52,50
3,0.02200988728545247,0.019709906691596623,46,49
4,0.01770969894197252,0.019757941790989466,47,47
5,0.018153473391223005,0.020906709489368257,48,50
6,0.018426553508270712,0.019914759340740384,46,50
7,0.017969851598799602,0.019832227343604677,45,48
8,0.017989514883709153,0.019936345872424897,46,49
9,0.018029425629029983,0.01971484309151059,47,52
10,0.017933414292285527,0.019582884084610713,51,51
11,0.017872613306065526,0.019518235751560756,53,50
12,0.01781589679997922,0.019399670759836833,53,51
13,0.017743271726732235,0.019309720538911366,54,52
14,0.017693949570445896,0.019256241548629035,55,51
15,0.017657508640169347,0.01920111236118135,55,54
16,0.01761706757595454,0.019150023800986155,55,56
17,0.017579330213414797,0.019109303043002172,55,59
18,0.017546406956838612,0.019072893119993665,55,60
19,0.017515060286851798,0.019039895420982725,56,62
20,0.017485290453369013,0.019011081400371735,56,62
21,0.017457310008802754,0.018985427561260405,56,62
22,0.017430541650304256,0.018962549027942477,57,63
23,0.01740485679678447,0.01894247020993914,57,64
24,0.017380144111265428,0.018925033864520845,58,65
25,0.017356180295004534,0.01891022863842192,58,65
26,0.017332842889821756,0.01889809597106207,58,64
27,0.017310063044230144,0.018888530277070544,58,63
28,0.01728781414231914,0.018881118865240187,58,63
29,0.017266170408740733,0.018875055653708322,58,63
30,0.017245232559100137,0.018869530019306,58,64
31,0.017224971728254913,0.01886441877910069,59,64
32,0.01720515399608972,0.018860187416984923,59,64
33,0.01718546372039763,0.018857253733135404,59,64
34,0.017165550645792258,0.01885591120946975,59,62
35,0.017145205593708926,0.018854883171263194,60,62
36,0.017123356430285633,0.018851567450023834,60,62
37,0.017103420863361477,0.018836409137362526,60,62
38,0.017069688383138406,0.01885852302823748,60,62
39,0.01888155387382587,0.018918068636031377,61,61
40,0.017323644156226073,0.020104040418352398,57,49
41,0.018203789208170253,0.020715548878624326,50,48
42,0.017956295228354336,0.019177121207827615,49,60
43,0.01732576543180198,0.019152929669334774,56,58
44,0.01731137509615916,0.019328608967009046,57,58
45,0.017236850671548263,0.019114314374469574,57,61
46,0.017162250772712117,0.019143877142951602,58,61
47,0.017156181220488478,0.019185538518996466,58,60
48,0.017117307620978205,0.01913107292992728,58,62
49,0.017095443087803742,0.01914665869304112,58,62
50,0.017077138838778,0.019155654453095937,58,61
51,0.01705533515982158,0.019136630921136766,58,60
52,0.017037704805658048,0.019144787674858457,59,60
53,0.01701801040637418,0.01914368754341489,58,60
54,0.017001043450657425,0.019132689634958903,59,60
55,0.01698138291480906,0.019136282943543935,59,60
56,0.016962240327079343,0.01912724460874285,59,60
57,0.016943709405463196,0.019114251931508383,59,60
58,0.016919175283963826,0.0191161763100397,59,60
59,0.01690131488336207,0.019075683185032437,59,60
60,0.016868740382684353,0.019103404453822543,60,58
61,0.0168565694141188,0.01893664768763951,59,60
62,0.016908399089077483,0.019114694141206288,59,59
63,0.01700495299053392,0.018838222253890265,60,61
64,0.01683994771549537,0.019008630230313257,60,60
65,0.016783868366817258,0.01901009309859503,60,60
66,0.01664187098449131,0.018931881586710612,61,60
67,0.016571524258179735,0.01883390403929211,61,60
68,0.01704946366496056,0.019363376640138173,57,58
69,0.017388358056170384,0.01899375801994687,58,62
70,0.016998556549943967,0.018753128960019065,61,63
71,0.016963934373555693,0.01892810208456857,61,63
72,0.01693782541486952,0.018827849342709497,61,63
