Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
61,7527,3,10,10,40,5,0.000132647,0.538712203,79.15137939,0.648553883,66.07614975,30,46,16,23,0.65024651,0.563006532,0.593128509,0.675180158,0.731353848,0.69321056,0.64718019,0.298235253,0.64718019,0.309360403
62,5463,4,10,10,40,3,0.000104366,0.578505069,78.71543427,0.662923228,62.05929184,32,40,22,21,0.585906408,0.604081112,0.58641161,0.658490905,0.629607263,0.636092131,0.616844187,0.232293422,0.616844187,0.238857884
84,5174,1,35,48,40,3,0.002738421,0.619404417,66.16938553,0.679704541,60.19457016,30,39,23,23,0.583749731,0.574084657,0.569454434,0.628910376,0.629946246,0.62170877,0.602015451,0.204520002,0.602015451,0.208226341
63,23,4,10,10,40,3,0.000131051,0.543092236,78.29270325,0.67332579,60.47826767,24,45,16,29,0.603636364,0.463590545,0.507603747,0.611141599,0.716733815,0.653205438,0.59016218,0.183247294,0.59016218,0.195963849
69,9786,4,20,10,40,5,0.000180121,0.605011791,70.8368927,0.671803049,60.55146484,26,44,18,27,0.579473151,0.480549069,0.512392166,0.61641976,0.696845652,0.648705447,0.58869736,0.179497605,0.58869736,0.185867743
150,3438,3,15,10,25,5,0.000109752,0.635187248,65.89763031,0.673158869,61.0924675,33,37,24,20,0.46886791,0.598240279,0.4995671,0.697349584,0.577735803,0.569600592,0.587988041,0.177440038,0.587988041,0.209342373
68,9599,4,10,10,40,3,0.000129461,0.605906533,71.22434082,0.672795093,61.1523819,26,45,17,27,0.480015152,0.461443465,0.456112021,0.638796884,0.712237855,0.64828783,0.58684066,0.175965556,0.58684066,0.187600862
143,6012,3,15,10,25,5,0.000187045,0.610951175,70.83686066,0.668147168,59.27304306,26,42,20,27,0.571193013,0.484122568,0.507191682,0.615450812,0.68426844,0.638004518,0.584195504,0.168661369,0.584195504,0.177016666
124,4291,4,115,10,40,5,0.000522284,0.651135311,62.82812347,0.67463061,59.7563179,30,39,23,23,0.592742254,0.554724754,0.515542385,0.640364916,0.605975271,0.600184548,0.580350013,0.162307757,0.580350013,0.186839099
34,9438,4,195,10,40,5,0.000344301,0.599928236,66.16278076,0.669757141,58.25146027,32,35,26,21,0.535103785,0.590629667,0.553072138,0.635515805,0.564015966,0.586688807,0.577322816,0.156448276,0.577322816,0.162246255
94,9685,2,135,16,40,3,0.000480313,0.596934067,69.25689011,0.698057296,58.2232872,25,42,20,28,0.564097907,0.472881917,0.507457193,0.60071434,0.681833843,0.634385984,0.57735788,0.154372347,0.57735788,0.15957838
48,7314,3,25,48,10,4,0.000250497,0.569627546,80.60374451,0.679515745,57.75655212,34,32,30,19,0.527404768,0.638059698,0.570094205,0.647476799,0.513715776,0.557850615,0.575887737,0.149953955,0.575887737,0.162412124
147,6797,3,15,10,25,5,0.000129144,0.619449624,69.05796967,0.66570155,59.06211319,27,41,21,26,0.452075107,0.493271231,0.464164712,0.632311731,0.655485231,0.616720221,0.574378231,0.148525895,0.574378231,0.1582501
137,8171,3,30,48,35,3,0.000158171,0.554683016,77.28754959,0.676595431,59.39039917,27,41,20,26,0.458738164,0.493459517,0.467676741,0.614427673,0.651028865,0.614212312,0.572244191,0.146122009,0.572244191,0.151005551
146,1261,3,145,10,25,5,0.000264121,0.66443761,61.15889969,0.682216113,57.87452087,29,37,25,24,0.537704305,0.55914201,0.526417041,0.613214047,0.579940421,0.57962153,0.569541216,0.139015336,0.569541216,0.144908516
