path,participant,type,jump_count,label
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-center/anon_P1-rsz-fps15-cmj-center-1.mp4,P1,cmj-center,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-center/anon_P1-rsz-fps15-cmj-center-2.mp4,P1,cmj-center,2,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-center/anon_P1-rsz-fps15-cmj-center-3.mp4,P1,cmj-center,3,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-center/anon_P1-rsz-fps15-cmj-center-4.mp4,P1,cmj-center,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-center/anon_P1-rsz-fps15-cmj-center-5.mp4,P1,cmj-center,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-center/anon_P1-rsz-fps15-dj-center-1.mp4,P1,dj-center,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-center/anon_P1-rsz-fps15-dj-center-2.mp4,P1,dj-center,2,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-center/anon_P1-rsz-fps15-dj-center-3.mp4,P1,dj-center,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-center/anon_P1-rsz-fps15-dj-center-4.mp4,P1,dj-center,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-center/anon_P1-rsz-fps15-dj-center-5.mp4,P1,dj-center,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-center/anon_P2-rsz-fps15-cmj-center-1.mp4,P2,cmj-center,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-center/anon_P2-rsz-fps15-cmj-center-2.mp4,P2,cmj-center,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-center/anon_P2-rsz-fps15-cmj-center-3.mp4,P2,cmj-center,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-center/anon_P2-rsz-fps15-cmj-center-4.mp4,P2,cmj-center,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-center/anon_P2-rsz-fps15-cmj-center-5.mp4,P2,cmj-center,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-center/anon_P2-rsz-fps15-dj-center-1.mp4,P2,dj-center,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-center/anon_P2-rsz-fps15-dj-center-2.mp4,P2,dj-center,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-center/anon_P2-rsz-fps15-dj-center-3.mp4,P2,dj-center,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-center/anon_P2-rsz-fps15-dj-center-4.mp4,P2,dj-center,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-center/anon_P2-rsz-fps15-dj-center-5.mp4,P2,dj-center,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-center/anon_P3-rsz-fps15-cmj-center-1.mp4,P3,cmj-center,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-center/anon_P3-rsz-fps15-cmj-center-2.mp4,P3,cmj-center,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-center/anon_P3-rsz-fps15-cmj-center-3.mp4,P3,cmj-center,3,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-center/anon_P3-rsz-fps15-cmj-center-4.mp4,P3,cmj-center,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-center/anon_P3-rsz-fps15-cmj-center-5.mp4,P3,cmj-center,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-1.mp4,P3,dj-center,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-2.mp4,P3,dj-center,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-3.mp4,P3,dj-center,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-4.mp4,P3,dj-center,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-5.mp4,P3,dj-center,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-center/anon_P3-rsz-fps15-dj-center-6.mp4,P3,dj-center,6,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-cmj-center/anon_P4-rsz-fps15-cmj-center-1.mp4,P4,cmj-center,1,1
