Model,Seed,Batch_Size,Num_Epochs,Unfreeze_layers,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
8,8984,8,65,6,0.000260356,0.610413517,67.18689651,0.676174775,62.4573967,30,42,20,23,0.600041776,0.563286367,0.580002393,0.642832149,0.675686195,0.658013506,0.619486281,0.239362986,0.619486281,0.240909272
4,8688,16,55,6,0.000662952,0.660130909,60.40656662,0.670793351,60.52334824,22,48,13,31,0.607543645,0.400364006,0.47891658,0.600315271,0.775984889,0.675929389,0.588174447,0.179455309,0.588174447,0.191285714
1,5365,8,55,5,0.000210841,0.604717533,65.73274384,0.667832532,58.62956085,14,53,9,39,0.63269649,0.287147591,0.330419616,0.58999533,0.838647488,0.684881091,0.562897539,0.127228624,0.562897539,0.139149871
3,7300,16,45,6,0.000522034,0.643221478,61.08356323,0.681787168,53.43638,26,36,26,27,0.359333333,0.498812364,0.387342654,0.596600058,0.555651142,0.510628076,0.527231753,0.052139862,0.527231753,0.051824265
10,9309,4,25,5,0.000130471,0.651100382,63.36371536,0.684713985,53.55109329,12,49,13,41,0.328439239,0.248303308,0.264169142,0.544535014,0.780491376,0.62711612,0.514397342,0.028166583,0.514397342,0.038311998
9,4483,4,60,6,0.000781461,0.680964779,55.66251755,0.68247335,53.64864578,7,54,7,46,0.200793651,0.152241055,0.173035081,0.544091061,0.869686024,0.661783396,0.510963539,0.022700324,0.510963539,0.022880971
2,3517,4,25,5,0.009667519,1.192392971,52.50605011,0.688889044,53.61027069,0,62,0,53,0,0,0,0.536102694,1,0.697243739,0.5,0,0.5,0
5,1392,4,20,5,0.021828249,2.23732152,52.5133728,0.687808717,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
6,9087,8,20,6,0.001515043,0.702434641,52.26976929,0.687490768,53.61027069,1,61,1,52,0.1,0.016949153,0.028985507,0.536102694,0.983050847,0.693251723,0.5,0,0.5,0
7,3544,4,65,6,0.013724183,1.516479642,53.57483444,0.687732428,53.80074692,22,40,22,31,0.200952381,0.4,0.267510549,0.337055075,0.6,0.43142633,0.5,0,0.5,0
11,1929,8,55,5,0.00451497,0.760852332,53.16529999,0.687043745,53.61027069,11,50,11,42,0.1,0.2,0.133333333,0.436102694,0.8,0.563910406,0.5,0,0.5,0
