Frame number,RHip - x,RHip - y,RKnee - x,RKnee - y,RAnkle - x,RAnkle - y,LHip - x,LHip - y,LKnee - x,LKnee - y,LAnkle - x,LAnkle - y,participant,type,jump_count
1.0,-1,-1,1168,375,1168,704,-1,-1,1168,375,1001,727,P1,cmj-left,1
2.0,-1,-1,1210,328,1168,704,-1,-1,1210,328,1001,727,P1,cmj-left,1
3.0,-1,-1,1001,469,1293,493,-1,-1,-1,-1,1168,704,P1,cmj-left,1
4.0,-1,-1,1043,399,1168,704,-1,-1,1252,305,1001,751,P1,cmj-left,1
5.0,-1,-1,1043,399,1293,493,-1,-1,-1,-1,1168,704,P1,cmj-left,1
6.0,-1,-1,1043,399,1168,704,-1,-1,1085,399,1001,727,P1,cmj-left,1
7.0,1001,0,1085,375,1001,727,-1,-1,1252,328,1168,704,P1,cmj-left,1
8.0,-1,-1,1085,399,1001,727,-1,-1,-1,-1,1168,704,P1,cmj-left,1
9.0,-1,-1,1085,399,1001,727,1126,93,1293,375,1168,704,P1,cmj-left,1
10.0,1085,234,1085,399,1001,727,1252,234,1293,375,1210,704,P1,cmj-left,1
11.0,960,46,1126,399,1001,727,1168,70,1293,375,1168,704,P1,cmj-left,1
12.0,960,70,1126,399,1001,727,1126,93,1335,375,1210,704,P1,cmj-left,1
13.0,960,93,1126,399,1001,751,1126,117,1335,375,1210,704,P1,cmj-left,1
14.0,960,140,1126,422,1001,751,1126,140,1335,399,1210,704,P1,cmj-left,1
15.0,960,164,1126,446,1001,751,1126,164,1335,399,1210,704,P1,cmj-left,1
16.0,960,187,1168,446,1001,751,1168,211,1377,422,1210,704,P1,cmj-left,1
17.0,960,211,1168,446,1001,751,1126,211,1377,422,1210,704,P1,cmj-left,1
18.0,960,211,1168,446,1001,751,1126,211,1377,422,1210,704,P1,cmj-left,1
19.0,960,234,1168,446,1001,751,1126,234,1377,446,1210,704,P1,cmj-left,1
20.0,960,234,1168,446,1001,774,1168,258,1377,446,1210,704,P1,cmj-left,1
21.0,960,258,1168,469,1001,774,1168,258,1377,422,1210,704,P1,cmj-left,1
22.0,960,258,1168,469,1001,774,1168,258,1377,446,1210,704,P1,cmj-left,1
23.0,1001,258,1168,469,1001,774,1168,258,1419,446,1210,704,P1,cmj-left,1
24.0,960,234,1168,469,1001,774,1168,258,1377,446,1210,704,P1,cmj-left,1
25.0,1001,234,1168,469,1001,774,1168,234,1377,446,1210,704,P1,cmj-left,1
26.0,960,211,1210,469,1001,751,1168,234,1377,446,1210,704,P1,cmj-left,1
27.0,960,187,1210,446,1001,751,1126,211,1335,422,1210,704,P1,cmj-left,1
28.0,960,164,1210,446,1001,751,1168,187,1335,422,1210,704,P1,cmj-left,1
29.0,960,140,1168,446,1001,751,1168,164,1335,422,1210,704,P1,cmj-left,1
30.0,960,117,1168,446,1001,751,1168,140,1335,422,1210,704,P1,cmj-left,1
31.0,960,93,1168,422,1001,751,1168,117,1335,422,1210,704,P1,cmj-left,1
32.0,-1,-1,1168,399,1001,727,1168,117,1293,375,1210,704,P1,cmj-left,1
33.0,-1,-1,1252,375,1210,680,-1,-1,1085,399,1001,704,P1,cmj-left,1
