participant,type,jump_count,labels
P1,cmj-center,1,0
P1,cmj-center,2,0
P1,cmj-center,3,0
P1,cmj-center,4,0
P1,cmj-center,5,0
P1,dj-center,1,1
P1,dj-center,2,0
P1,dj-center,3,1
P1,dj-center,4,1
P1,dj-center,5,1
P2,cmj-center,1,0
P2,cmj-center,2,1
P2,cmj-center,3,1
P2,cmj-center,4,1
P2,cmj-center,5,1
P2,dj-center,1,0
P2,dj-center,2,1
P2,dj-center,3,1
P2,dj-center,4,1
P2,dj-center,5,0
P3,cmj-center,1,0
P3,cmj-center,2,1
P3,cmj-center,3,0
P3,cmj-center,4,0
P3,cmj-center,5,0
P3,dj-center,1,1
P3,dj-center,2,1
P3,dj-center,3,1
P3,dj-center,4,0
P3,dj-center,5,1
P3,dj-center,6,0
P4,cmj-center,1,1
P4,cmj-center,2,0
P4,cmj-center,3,0
P4,cmj-center,4,0
P4,dj-center,1,1
P4,dj-center,2,0
P4,dj-center,3,0
P5,cmj-center,1,1
P5,cmj-center,2,1
P5,cmj-center,3,1
P5,dj-center,1,1
P5,dj-center,2,1
P5,dj-center,3,1
P5,dj-center,4,1
P5,dj-center,5,1
P6,cmj-center,1,1
P6,cmj-center,2,0
P6,cmj-center,3,1
P6,dj-center,1,0
P6,dj-center,2,1
P6,dj-center,3,1
P7,cmj-center,1,0
P7,cmj-center,2,1
P7,cmj-center,3,0
P7,dj-center,1,0
P7,dj-center,2,0
P7,dj-center,3,1
P8,cmj-center,1,0
P8,cmj-center,2,0
P8,cmj-center,3,0
P8,cmj-center,4,0
P8,cmj-center,5,0
P8,dj-center,1,1
P8,dj-center,2,1
P8,dj-center,3,1
P8,dj-center,4,1
P8,dj-center,5,1
P9,cmj-center,1,1
P9,cmj-center,2,1
P9,cmj-center,3,1
P9,cmj-center,4,1
P9,cmj-center,5,1
P9,dj-center,1,1
P9,dj-center,2,1
P9,dj-center,3,1
P9,dj-center,4,1
P9,dj-center,5,1
P10,cmj-center,1,1
P10,cmj-center,2,0
P10,cmj-center,3,0
P10,cmj-center,4,0
P10,cmj-center,5,0
P10,dj-center,1,1
P10,dj-center,2,1
P10,dj-center,3,1
P10,dj-center,4,1
P10,dj-center,5,1
P11,cmj-center,1,0
P11,cmj-center,2,0
P11,cmj-center,3,0
P11,cmj-center,4,0
